Date,CODE,Close
1/21/2011,NBK,46.5
1/21/2011,NCBA,50.5
1/21/2011,SBIC,78
1/21/2011,SCBK,271.75
1/21/2011,EVRD,2.85
1/21/2011,XPRS,8.25
1/21/2011,KQ,46
1/21/2011,NMG,170
1/21/2011,SMER,6.25
1/21/2011,SGL,42.25
1/21/2011,TPSE,64
1/21/2011,UCHM,14.5
1/21/2011,SCAN,66.5
1/21/2011,ARM,186
1/21/2011,BAMB,204
1/21/2011,CRWN,32.5
1/21/2011,CABL,16.05
1/21/2011,PORT,105
1/21/2011,KENO,9.95
1/21/2011,KEGN,16.35
1/21/2011,KPLC-P4,7.65
1/21/2011,KPLC-P7,5.5
1/21/2011,KPLC,23
1/21/2011,TOTL,29
1/21/2011,JUB,200
1/21/2011,KNRE,11.1
1/21/2011,SLAM,67
1/21/2011,OCH,5.65
1/21/2011,CARB,150
1/21/2011,EABL,209
1/21/2011,ORCH,3
1/21/2011,MSC,9.8
1/21/2011,UNGA,10.65
1/24/2011,EGAD,57
1/24/2011,KUKZ,84
1/24/2011,KAPC,125
1/24/2011,LIMT,300
1/24/2011,SASN,12.5
1/24/2011,WTK,195
1/24/2011,CGEN,48
1/24/2011,ABSA,63.5
1/24/2011,COOP,20.25
1/24/2011,DTK,147
1/24/2011,EQTY,29.5
1/24/2011,HFCK,28.55
1/24/2011,KCB,23.5
1/24/2011,NBK,46.5
1/24/2011,NCBA,50.5
1/24/2011,SBIC,76.5
1/24/2011,SCBK,271.75
1/24/2011,EVRD,2.85
1/24/2011,XPRS,8.25
1/24/2011,KQ,46
1/24/2011,NMG,170
1/24/2011,SMER,6.8
1/24/2011,SGL,42.25
1/24/2011,TPSE,65
1/24/2011,UCHM,14.5
1/24/2011,SCAN,65.5
1/24/2011,ARM,187
1/24/2011,BAMB,204
1/24/2011,CRWN,32
1/24/2011,CABL,16.05
1/24/2011,PORT,106
1/24/2011,KENO,9.9
1/24/2011,KEGN,16.3
1/24/2011,KPLC-P4,7.65
1/24/2011,KPLC-P7,5.5
1/24/2011,KPLC,22
1/24/2011,TOTL,28.75
1/24/2011,JUB,197
1/24/2011,KNRE,11.15
1/24/2011,SLAM,67
1/24/2011,OCH,5.65
1/24/2011,CARB,150
1/24/2011,EABL,208
1/24/2011,ORCH,3
1/24/2011,MSC,9.8
1/24/2011,UNGA,10.85
1/25/2011,EGAD,57
1/25/2011,KUKZ,84
1/25/2011,KAPC,130
1/25/2011,LIMT,300
1/25/2011,SASN,12.65
1/25/2011,WTK,200
1/25/2011,CGEN,50
1/25/2011,ABSA,63.5
1/25/2011,COOP,20.25
1/25/2011,DTK,147
1/25/2011,EQTY,29.5
1/25/2011,HFCK,28.95
1/25/2011,KCB,23.75
1/25/2011,NBK,46.75
1/25/2011,NCBA,50.5
1/25/2011,SBIC,77.5
1/25/2011,SCBK,271.75
1/25/2011,EVRD,2.75
1/25/2011,XPRS,8.05
1/25/2011,KQ,46
1/25/2011,NMG,171
1/25/2011,SMER,6.8
1/25/2011,SGL,42.5
1/25/2011,TPSE,64.5
1/25/2011,UCHM,14.5
1/25/2011,SCAN,64.5
1/25/2011,ARM,185
1/25/2011,BAMB,203
1/25/2011,CRWN,32.5
1/25/2011,CABL,16
1/25/2011,PORT,108
1/25/2011,KENO,9.9
1/25/2011,KEGN,16.3
1/25/2011,KPLC-P4,7.65
1/25/2011,KPLC-P7,5.5
1/25/2011,KPLC,22.5
1/25/2011,TOTL,29
1/25/2011,JUB,191
1/25/2011,KNRE,11.15
1/25/2011,SLAM,63.5
1/25/2011,OCH,5.7
1/25/2011,CARB,149
1/25/2011,EABL,207
1/25/2011,ORCH,3
1/25/2011,MSC,9.8
1/25/2011,UNGA,11.05
1/26/2011,EGAD,57
1/26/2011,KUKZ,83
1/26/2011,KAPC,130
1/26/2011,LIMT,300
1/26/2011,SASN,12.7
1/26/2011,WTK,220
1/26/2011,CGEN,50
1/26/2011,ABSA,63.5
1/26/2011,COOP,20.5
1/26/2011,DTK,148
1/26/2011,EQTY,29.25
1/26/2011,HFCK,28.05
1/26/2011,KCB,23.75
1/26/2011,NBK,46.5
1/26/2011,NCBA,51
1/26/2011,SBIC,79.5
1/26/2011,SCBK,271
1/26/2011,EVRD,2.65
1/26/2011,XPRS,8
1/26/2011,KQ,46.25
1/26/2011,NMG,171
1/26/2011,SMER,6.4
1/26/2011,SGL,43
1/26/2011,TPSE,64
1/26/2011,UCHM,14.5
1/26/2011,SCAN,64
1/26/2011,ARM,193
1/26/2011,BAMB,203
1/26/2011,CRWN,32.5
1/26/2011,CABL,16
1/26/2011,PORT,110
1/26/2011,KENO,9.95
1/26/2011,KEGN,16.45
1/26/2011,KPLC-P4,7.65
1/26/2011,KPLC-P7,5.5
1/26/2011,KPLC,22.75
1/26/2011,TOTL,28.75
1/26/2011,JUB,191
1/26/2011,KNRE,11.15
1/26/2011,SLAM,63.5
1/26/2011,OCH,5.75
1/26/2011,CARB,150
1/26/2011,EABL,206
1/26/2011,ORCH,3
1/26/2011,MSC,9.8
1/26/2011,UNGA,11.1
1/27/2011,EGAD,57
1/27/2011,KUKZ,83
1/27/2011,KAPC,130
1/27/2011,LIMT,305
1/27/2011,SASN,12.7
1/27/2011,WTK,220
1/27/2011,CGEN,50
1/27/2011,ABSA,63.5
1/27/2011,COOP,20.25
1/27/2011,DTK,148
1/27/2011,EQTY,29
1/27/2011,HFCK,27.45
1/27/2011,KCB,23.75
1/27/2011,NBK,44.75
1/27/2011,NCBA,51
1/27/2011,SBIC,79.5
1/27/2011,SCBK,272
1/27/2011,EVRD,2.85
1/27/2011,XPRS,8.25
1/27/2011,KQ,46
1/27/2011,NMG,174
1/27/2011,SMER,6.4
1/27/2011,SGL,43
1/27/2011,TPSE,66.5
1/27/2011,UCHM,14.5
1/27/2011,SCAN,64
1/27/2011,ARM,192
1/27/2011,BAMB,203
1/27/2011,CRWN,33
1/27/2011,CABL,16.1
1/27/2011,PORT,110
1/27/2011,KENO,10
1/27/2011,KEGN,16.5
1/27/2011,KPLC-P4,7.65
1/27/2011,KPLC-P7,5.5
1/27/2011,KPLC,23.5
1/27/2011,TOTL,28.75
1/27/2011,JUB,196
1/27/2011,KNRE,11.35
1/27/2011,SLAM,63
1/27/2011,OCH,5.85
1/27/2011,CARB,150
1/27/2011,EABL,202
1/27/2011,ORCH,3
1/27/2011,MSC,9.75
1/27/2011,UNGA,11.1
1/28/2011,EGAD,57
1/28/2011,KUKZ,78
1/28/2011,KAPC,130
1/28/2011,LIMT,305
1/28/2011,SASN,12.7
1/28/2011,WTK,200
1/28/2011,CGEN,50.5
1/28/2011,ABSA,63.5
1/28/2011,COOP,20.25
1/28/2011,DTK,147
1/28/2011,EQTY,29
1/28/2011,HFCK,27.6
1/28/2011,KCB,23.25
1/28/2011,NBK,45
1/28/2011,NCBA,51
1/28/2011,SBIC,80
1/28/2011,SCBK,271
1/28/2011,EVRD,2.8
1/28/2011,XPRS,7.8
1/28/2011,KQ,45.75
1/28/2011,NMG,171
1/28/2011,SMER,6.3
1/28/2011,SGL,42
1/28/2011,TPSE,66
1/28/2011,UCHM,14.5
1/28/2011,SCAN,64
1/28/2011,ARM,186
1/28/2011,BAMB,205
1/28/2011,CRWN,34.5
1/28/2011,CABL,16.15
1/28/2011,PORT,109
